User: 2533324256
Email: no email
Date: 15-ene-2018 10:29 a. m.
Country: ES

Device: iPad 5
Maximum Frame Rate suported: 60Hz
Screen Width: 2048pixels
Screen Height: 1536pixels
Resolution: 264pp
Measured Full Brightness when 100% Full Screen White: 514cd/m2
Screen Brightnes set to: 31% in order to normalise with other iPad models

Age: 25
Sex: Female
Group: None of them
Time diagnosed: 
Distance cm: 57.0
Distances measured cm:  51.4687 49.4761 50.063 43.8144 44.0315 73.7475 70.5574 76.4957 74.2429 76.0398 67.4066 69.0484 71.5264 78.938 75.8271 77.7772 76.2522 73.3009 72.5416 72.6013 78.2036 75.5445 76.9083 78.9537 76.7602 75.4462 77.8146 71.6701 67.3881 69.5277 68.2739 69.6198 75.0015 75.6573 78.9746 75.1201 77.2737 72.6759 70.7296 78.1441 71.0016 68.8877 76.6839 77.5076 75.9286 77.3243 70.1904 70.5971 70.0765 73.3487 71.9928 70.2749 78.4685 70.9428 70.4242 67.6023 70.8738 67.7395 69.4141 70.8696 74.1687 75.4736 71.8596 76.8663 75.3247 72.8623 66.8856 66.0954 79.8705 61.6944 74.2895 64.5127 62.0896 81.1179 62.8792 76.9321 76.7538 74.4665 76.4816 61.9415 76.2198 74.455 76.8403 72.3092 71.623 72.4329 71.5887 77.2493 71.3077 77.2492 77.0244 78.2438 77.4279 77.1166 78.0597 71.3843 72.4725 68.5189 74.8018 68.6175 71.5985 72.5428 72.4186 73.7386 71.9885 74.9044 72.4238 71.8232 73.8273 73.7305 77.2249 70.1041 67.803 70.846 73.9749 67.2599 72.3259 70.9551 71.3182 72.5527 61.7063 60.8081 70.6797 71.5901 73.0441 72.2089 73.3389 71.5343 71.8803 73.7911 72.5688
Distance media measured cm: 71.8245
Number of responses: 280

practice:
Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   73.7179   1   216   0.07368   0.42   -1   1   4   0.3   right   0   
2   7.55004   4   0   0.01   0.42   1   1   4   0.308333   left   1   
3   1.06667   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
4   2.31667   4   216   0.01648   0.42   1   1   4   0.3   right   1   
5   1.55   4   144   0.04472   0.42   1   1   4   0.3   left   1   
6   0.783333   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
7   1.21667   1   216   0.01648   0.42   -1   1   4   0.3   right   1   
8   15.8833   1   144   0.04472   0.42   1   1   4   0.3   right   1   
9   0.95   1   144   0.2   0.42   1   1   4   0.3   left   1   
10   1.03333   4   72   0.07368   0.42   -1   1   4   0.3   right   1   
11   1.03333   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
12   1.1   1   72   0.07368   0.42   1   1   4   0.3   left   1   
13   1.11667   4   288   0.01648   0.42   1   1   4   0.3   right   1   
14   8.98337   1   72   0.2   0.42   -1   1   4   0.3   left   0   
15   0.8   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
16   1.0   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
